hr, targetSPN(difficulty), avgDelta (real difficulty), hrthres
127,0.9490679,1.804395,107.6
127,0.9491757,1.804395,107.6
127,0.9492834,1.804395,107.6
127,0.9493912,1.804395,107.6
127,0.949499,1.804395,107.6
127,0.9496067,1.804395,107.6
127,0.9497145,1.804395,107.6
127,0.9498222,1.804395,107.6
127,0.94993,1.804395,107.6
127,0.9500378,1.804395,107.6
127,0.9501455,1.804395,107.6
127,0.9502533,1.804395,107.6
127,0.9503611,1.804395,107.6
127,0.9504688,1.804395,107.6
127,0.9505766,1.804395,107.6
127,0.9506844,1.804395,107.6
127,0.9507921,1.804395,107.6
127,0.9508999,1.804395,107.6
127,0.9510077,1.804395,107.6
127,0.9511154,1.804395,107.6
127,0.9512232,1.804395,107.6
127,0.951331,1.804395,107.6
127,0.9514387,1.804395,107.6
127,0.9515465,1.804395,107.6
127,0.9516543,1.804395,107.6
127,0.951762,1.804395,107.6
127,0.9518698,1.804395,107.6
127,0.9519776,1.804395,107.6
127,0.9520853,1.804395,107.6
127,0.9521931,1.804395,107.6
127,0.9523008,1.804395,107.6
127,0.9524086,1.804395,107.6
127,0.9525164,1.804395,107.6
127,0.9526241,1.804395,107.6
127,0.9527319,1.804395,107.6
127,0.9528397,1.804395,107.6
127,0.9529474,1.804395,107.6
127,0.9530552,1.804395,107.6
127,0.953163,1.804395,107.6
127,0.9532707,1.804395,107.6
127,0.9533785,1.804395,107.6
127,0.9534863,1.804395,107.6
127,0.953594,1.804395,107.6
127,0.9537018,1.804395,107.6
127,0.9538096,1.804395,107.6
127,0.9539173,1.804395,107.6
127,0.9540251,1.804395,107.6
127,0.9541329,1.804395,107.6
127,0.9542406,1.804395,107.6
127,0.9543484,1.804395,107.6
127,0.9544562,1.804395,107.6
127,0.9545639,1.804395,107.6
127,0.9546717,1.285275,107.6
127,0.9547794,1.285275,107.6
127,0.9548872,1.285275,107.6
127,0.954995,1.285275,107.6
127,0.9551027,1.285275,107.6
127,0.9552105,1.285275,107.6
127,0.9553183,1.285275,107.6
127,0.955426,1.285275,107.6
127,0.9555338,1.285275,107.6
127,0.9556416,1.285275,107.6
